insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000032, 'dcostellow0', 5e505b89fc13ae1c4d000033, 38.9693412, -9.1822048, 'Portugal', 'Sapataria', 'Pink', 2010);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000034, 'amelrose1', 5e505b89fc13ae1c4d000035, -7.1562056, -34.9313665, null, 'Bayeux', 'Violet', 1987);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000036, 'cdoctor2', 5e505b89fc13ae1c4d000037, 39.4242713, -8.6985716, null, 'Malhou', 'Khaki', 1992);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000038, 'bparade3', 5e505b89fc13ae1c4d000039, 29.432849, 110.923502, 'China', 'Gaofeng', 'Khaki', 2008);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00003a, 'igeelan4', 5e505b89fc13ae1c4d00003b, 56.504578, 13.0422348, 'Sweden', 'Laholm', 'Orange', 2002);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00003c, 'jallkins5', 5e505b89fc13ae1c4d00003d, 42.059759, 86.574067, 'China', 'Yanqi', 'Pink', 2004);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d00003e, 'umacdiarmid6', 5e505b89fc13ae1c4d00003f, -17.5952979, -65.9393064, 'Bolivia', 'Cliza', 'Turquoise', 1994);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000040, 'kgarment7', 5e505b89fc13ae1c4d000041, 55.9129296, 13.1018168, 'Sweden', 'Svalöv', 'Yellow', 2005);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000042, 'hragge8', 5e505b89fc13ae1c4d000043, -17.4652462, 49.2005539, 'Madagascar', 'Vavatenina', 'Puce', 2005);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000044, 'tcaldow9', 5e505b89fc13ae1c4d000045, 28.214419, 121.293705, 'China', 'Chumen', 'Aquamarine', 2011);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000046, 'dachrameeva', 5e505b89fc13ae1c4d000047, 49.8691189, 15.5800287, 'Czech Republic', 'Třemošnice', 'Purple', 1994);
insert into events (Event_ID, Username, Person_ID, Latitude, Longitude, Country, City, EventType, Year) values (5e505b89fc13ae1c4d000048, 'nhardakerb', 5e505b89fc13ae1c4d000049, 39.6003316, 20.3077691, 'Greece', 'Filiátes', 'Goldenrod', 2004);
